rank,name_a,name_b,smi_a,smi_b,tox_pred,tox_unc,perm_pred,perm_unc,iri_pred,iri_unc,composite_score
1,BENZALDEHYDE,FATTY ACID ESTERS,O=Cc1ccccc1,O=CO,42.01866666666667,1.6125310401835844,63.479944000000046,0.9954029600438228,57.92858978327227,1.4565516481590814,0.6532941930055819
2,BENZALDEHYDE,PHENOL,O=Cc1ccccc1,Oc1ccccc1,42.01866666666667,1.024053505546571,55.11825199999997,1.1100372757416805,46.13438128571422,1.5715484456946895,0.6498971119623996
3,BENZALDEHYDE,BENZYL ALCOHOL,O=Cc1ccccc1,OCc1ccccc1,42.01866666666667,1.095212044410679,53.69685599999997,0.9532938887373672,45.27937961904754,1.6116949566537677,0.6454348249456594
4,BENZALDEHYDE,PHENYLALANINE,O=Cc1ccccc1,N[C@@H](Cc1ccccc1)C(=O)O,52.51266666666667,1.1529886190052143,51.81434399999996,1.272874481189718,32.428472952380915,1.4876171544097851,0.642561841069008
5,DIMETHYL SULFOXIDE,PROPYLENE GLYCOL,CS(C)=O,CC(O)CO,13.634,1.7236266881201396,50.29659200000016,0.6340940997675313,69.04244865079373,1.909210422234883,0.6409629218355076
6,BENZALDEHYDE,HYDROGEN PEROXIDE,O=Cc1ccccc1,OO,42.01866666666667,1.1902995626685275,58.961031999999975,0.8346435210891029,55.62531770634919,1.3935791013365406,0.6393961607355091
7,ISOLEUCINE,PHENYLALANINE,CC[C@H](C)[C@H](N)C(=O)O,N[C@@H](Cc1ccccc1)C(=O)O,54.598800000000004,1.6009614000482477,47.65541999999985,1.3830629623729978,25.098432999999993,0.967597208257668,0.6380758724986242
8,BENZALDEHYDE,ISOLEUCINE,O=Cc1ccccc1,CC[C@H](C)[C@H](N)C(=O)O,54.598800000000004,1.3152508776317597,55.68799599999994,1.269210359642562,37.800575952380925,1.431610419186162,0.6376996375976535
9,BENZALDEHYDE,BUTYLENE GLYCOL,O=Cc1ccccc1,CC(O)CCO,42.01866666666667,1.169363481177307,59.605052,0.9721981409239621,56.844361079365086,1.6377045991567192,0.637511953220212
10,FATTY ACID ESTERS,PHENOL,O=CO,Oc1ccccc1,38.52066666666667,1.7755989737425377,58.751275999999976,0.9511932413552956,58.932355164224646,1.1247392533079472,0.6374879090218689
11,BENZALDEHYDE,BENZOIC ACID,O=Cc1ccccc1,O=C(O)c1ccccc1,46.59866666666667,1.7607970417462167,54.02188399999994,1.1254258218043542,43.05680428571425,1.381756158275265,0.6372575383993483
