rank,name_a,name_b,smi_a,smi_b,tox_pred,tox_unc,perm_pred,perm_unc,iri_pred,iri_unc,composite_score
1,DIMETHYL SULFOXIDE,PROPYLENE GLYCOL,CS(C)=O,CC(O)CO,13.634,1.7236266881201396,50.29659200000016,0.6340940997675296,69.04244865079374,1.9092104222348771,0.6413639184358761
2,ISOLEUCINE,PHENYLALANINE,CC[C@H](C)[C@H](N)C(=O)O,N[C@@H](Cc1ccccc1)C(=O)O,54.598800000000004,1.6009614000482477,47.65541999999985,1.3830629623729969,25.098432999999993,0.9675972082576705,0.6384558119865549
3,ALCOHOL,BUTYLENE GLYCOL,CCO,CC(O)CCO,30.4644,1.5587656655187139,57.66603199999993,0.760228477930147,67.76441112698416,1.532202544536613,0.6296641923619782
4,PHENYLALANINE,TRYPTOPHAN,N[C@@H](Cc1ccccc1)C(=O)O,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,52.87346666666667,1.3171299033209358,43.53589199999989,1.520879912787317,23.875491666666647,0.7969058319385944,0.6276745860127227
5,BUTYLENE GLYCOL,FATTY ACID ESTERS,CC(O)CCO,O=CO,38.52066666666667,1.8631900290749848,63.23807600000001,0.7859739525454952,69.6423349578755,1.215462967294931,0.625808696380228
6,FATTY ACID ESTERS,ISOPROPYL ALCOHOL,O=CO,CC(C)O,38.52066666666667,2.9316447746008465,63.031288,0.8123251716203204,68.07290783089138,1.6306213362118362,0.6249194127774629
7,ISOLEUCINE,TRYPTOPHAN,CC[C@H](C)[C@H](N)C(=O)O,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,54.598800000000004,1.4612779673209955,47.40954399999987,1.51781461360733,29.24759466666667,0.6867040841627883,0.624284967055347
8,ALCOHOL,PROPYLENE GLYCOL,CCO,CC(O)CO,28.2668,1.7892593327966744,55.44804800000004,0.5820274802584456,68.0279317301588,1.7014381869846806,0.623708373657074
9,BUTYLENE GLYCOL,PROPYLENE GLYCOL,CC(O)CCO,CC(O)CO,30.4644,1.7350303282651864,57.14520000000007,0.576979961135566,68.82162685714295,1.607834301740942,0.6231722711371612
10,BUTYL ALCOHOL,BUTYLENE GLYCOL,CCCCO,CC(O)CCO,30.5816,1.616589892335097,54.11659599999993,0.7096784795384419,63.82794931746034,1.8008957751210852,0.6228087784792327
11,ISOLEUCINE,VANILLIN,CC[C@H](C)[C@H](N)C(=O)O,COc1cc(C=O)ccc1O,54.598800000000004,1.90048962112399,50.740519999999876,1.3894581390340541,35.01602399999999,0.905855250235251,0.6208077008409536
12,BUTYLENE GLYCOL,ISOPROPYL ALCOHOL,CC(O)CCO,CC(C)O,35.251599999999996,2.713244493222092,59.15639599999996,0.7837182891830372,66.98867912698418,1.7942852594984477,0.6193302481416385
13,FATTY ACID ESTERS,PHENYLALANINE,O=CO,N[C@@H](Cc1ccccc1)C(=O)O,52.51266666666667,1.8529567962823321,55.44736799999996,1.1370115539113799,45.22644683089134,1.0041308026649685,0.6191522778200396
14,ALCOHOL,FATTY ACID ESTERS,CCO,O=CO,38.52066666666667,1.9137909510822864,61.54092399999998,0.7896867520124573,68.84863983089136,1.3368287052350174,0.6189434687317533
15,PHENYLALANINE,VANILLIN,N[C@@H](Cc1ccccc1)C(=O)O,COc1cc(C=O)ccc1O,54.480399999999996,1.7920264184560573,46.8668679999999,1.3928059548867404,29.64392099999997,0.9920030948291738,0.6188011637711418
16,ISOLEUCINE,NIACINAMIDE,CC[C@H](C)[C@H](N)C(=O)O,NC(=O)c1cccnc1,54.878266666666676,2.316090767747336,49.91995599999985,1.330471425346664,33.47407216666671,1.262935621102793,0.6183216765202625
17,ACETONITRILE,BUTYLENE GLYCOL,CC#N,CC(O)CCO,32.7112,1.4161802145207358,57.03719199999996,0.7996084749525865,67.93089700000007,1.7521580767577243,0.6179236853763737
18,ALCOHOL,PROPYL ALCOHOL,CCO,CCCO,28.2668,1.8190243538776494,52.39312399999986,0.641140077724039,64.94419057142858,1.7416322435978306,0.6174915031106304
19,BUTYLENE GLYCOL,PROPYL ALCOHOL,CC(O)CCO,CCCO,30.4644,1.765709738320543,54.09027599999988,0.6365614558233877,65.73788569841274,1.6503097011363288,0.6169431851607882
20,ALCOHOL,BUTYL ALCOHOL,CCO,CCCCO,30.5816,1.6746586517854916,52.41944399999991,0.7137882434896154,63.03425419047618,1.8849366979089535,0.616041750874841
